,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc_l,pur_acc_s,pur_acc_o,pur_acc_list_l,pur_acc_list_s,pur_acc_list_o,count_att,count_diff
63,64,100,451.395462,41.621567,0.820404,100.0,5.0,40.0,38.0,39.0,[41. 40. 39. 38. 38. 38. 40. 41. 39. 40.],[41. 40. 38. 39. 38. 37. 39. 40. 37. 38.],[41. 43. 40. 39. 39. 38. 40. 41. 39. 39.],55,5
64,65,100,456.64126,41.296113,0.914315,97.0,3.0,30.0,30.0,30.0,[31. 30. 30. 30. 31. 29. 30. 30. 30. 30.],[31. 32. 30. 30. 31. 30. 30. 29. 29. 30.],[31. 31. 30. 30. 30. 30. 28. 28. 28. 30.],70,0
65,66,100,456.722543,41.480366,0.820385,96.0,5.0,28.0,28.0,28.0,[30. 27. 30. 28. 26. 26. 25. 27. 26. 28.],[30. 26. 30. 27. 27. 26. 27. 27. 27. 28.],[30. 30. 31. 30. 28. 28. 27. 28. 29. 28.],70,2
66,67,100,457.479357,41.280141,0.823878,94.0,1.0,29.0,30.0,33.0,[33. 26. 33. 33. 29. 29. 31. 31. 29. 29.],[33. 26. 33. 33. 32. 31. 32. 30. 31. 30.],[33. 33. 33. 32. 31. 32. 32. 33. 30. 33.],71,0
67,68,100,463.967045,41.563021,0.818016,91.0,2.0,30.0,31.0,32.0,[27. 28. 30. 30. 30. 30. 30. 30. 30. 30.],[27. 28. 30. 30. 31. 31. 30. 32. 30. 31.],[27. 28. 25. 27. 29. 29. 29. 31. 29. 32.],69,1
68,69,100,464.882458,44.586023,0.88723,97.0,6.0,26.0,25.0,25.0,[27. 26. 24. 24. 24. 25. 25. 25. 25. 26.],[27. 26. 24. 23. 26. 25. 25. 25. 25. 25.],[27. 23. 24. 24. 26. 25. 25. 25. 26. 25.],73,1
69,70,100,473.439012,41.143648,0.81654,93.0,4.0,29.0,30.0,29.0,[29. 26. 26. 28. 27. 27. 27. 29. 28. 29.],[29. 27. 27. 27. 27. 29. 28. 29. 28. 30.],[29. 27. 27. 26. 27. 29. 29. 27. 28. 29.],71,0
70,71,100,450.264628,42.763813999999996,0.819895,90.0,8.0,37.0,37.0,37.0,[37. 36. 37. 36. 37. 36. 37. 37. 35. 37.],[37. 36. 36. 35. 36. 35. 36. 37. 37. 37.],[37. 37. 37. 36. 36. 37. 36. 38. 37. 37.],61,2
71,72,100,452.619744,41.7657,0.824506,97.0,2.0,30.0,30.0,30.0,[33. 37. 32. 33. 33. 33. 33. 31. 31. 30.],[33. 37. 30. 32. 33. 33. 33. 33. 30. 30.],[33. 34. 30. 30. 33. 32. 33. 31. 31. 30.],68,2
72,73,100,465.925859,41.211419,0.91318,95.0,4.0,31.0,30.0,33.0,[34. 35. 34. 33. 33. 32. 32. 33. 32. 31.],[34. 35. 34. 35. 32. 32. 31. 30. 31. 30.],[34. 34. 34. 34. 33. 33. 31. 31. 32. 33.],69,0
73,74,100,463.934016,41.210293,0.826912,97.0,3.0,34.0,35.0,36.0,[33. 31. 31. 32. 32. 34. 35. 33. 33. 34.],[33. 31. 33. 33. 33. 35. 35. 33. 33. 35.],[33. 33. 35. 30. 34. 32. 36. 33. 35. 36.],66,0
74,75,100,448.14407,41.102423,0.815167,94.0,4.0,30.0,30.0,30.0,[32. 29. 27. 27. 29. 29. 31. 30. 30. 30.],[32. 29. 27. 27. 29. 29. 30. 30. 30. 30.],[32. 30. 28. 27. 30. 28. 31. 30. 30. 30.],69,1
75,76,100,450.913123,42.201302,0.82101,94.0,6.0,42.0,41.0,41.0,[42. 40. 41. 39. 39. 39. 40. 42. 41. 42.],[42. 42. 41. 39. 40. 40. 41. 42. 42. 41.],[42. 41. 40. 41. 41. 39. 42. 42. 42. 41.],58,0
76,77,100,455.187825,42.527289,0.817995,92.0,2.0,29.0,27.0,29.0,[28. 30. 29. 30. 29. 30. 29. 29. 29. 29.],[28. 30. 29. 29. 28. 29. 29. 28. 27. 27.],[28. 31. 28. 29. 28. 29. 28. 29. 27. 29.],69,2
77,78,100,452.428674,41.098686,0.816132,97.0,10.0,37.0,37.0,36.0,[39. 39. 38. 38. 37. 37. 37. 37. 37. 37.],[39. 39. 39. 38. 37. 37. 38. 37. 37. 37.],[39. 40. 40. 40. 39. 39. 37. 37. 37. 36.],63,0
78,79,100,447.356885,41.112795,0.816912,94.0,2.0,30.0,30.0,31.0,[33. 31. 30. 30. 30. 30. 31. 31. 30. 30.],[33. 31. 32. 30. 32. 31. 32. 32. 30. 30.],[33. 30. 32. 30. 32. 29. 32. 32. 32. 31.],70,0
79,80,100,446.978694,41.096062,0.816182,96.0,7.0,42.0,42.0,41.0,[36. 39. 38. 39. 39. 39. 40. 40. 41. 42.],[36. 39. 38. 39. 40. 40. 39. 41. 41. 42.],[36. 35. 40. 37. 39. 38. 41. 40. 43. 41.],58,0
80,81,100,446.901956,41.027591,0.814668,97.0,3.0,31.0,30.0,31.0,[39. 35. 29. 32. 31. 32. 30. 30. 31. 31.],[39. 35. 32. 32. 30. 33. 30. 31. 29. 30.],[39. 35. 33. 32. 31. 30. 31. 32. 29. 31.],69,0
81,82,100,446.038861,41.010447,0.81416,97.0,6.0,33.0,35.0,32.0,[34. 31. 31. 32. 32. 32. 32. 33. 34. 33.],[34. 31. 33. 33. 33. 34. 33. 35. 34. 35.],[34. 29. 32. 33. 33. 31. 33. 32. 34. 32.],67,0
82,83,100,446.026729,41.044873,0.814841,94.0,4.0,38.0,37.0,38.0,[36. 36. 38. 38. 39. 39. 39. 37. 38. 38.],[36. 36. 40. 39. 40. 39. 38. 37. 38. 37.],[36. 39. 39. 38. 40. 40. 39. 39. 38. 38.],61,1
83,84,100,445.924186,41.02386,0.814375,97.0,3.0,23.0,24.0,23.0,[30. 28. 25. 25. 24. 24. 24. 22. 23. 23.],[30. 28. 25. 25. 25. 25. 23. 21. 22. 24.],[30. 30. 27. 25. 25. 23. 22. 22. 22. 23.],76,1
84,85,100,446.151774,41.026352,0.814019,93.0,3.0,34.0,34.0,33.0,[36. 37. 35. 34. 35. 34. 34. 33. 34. 34.],[36. 37. 34. 36. 35. 36. 34. 34. 34. 34.],[36. 34. 34. 33. 34. 33. 33. 32. 33. 33.],66,0
85,86,100,446.083203,41.026542,0.814573,91.0,3.0,32.0,33.0,34.0,[30. 31. 33. 33. 34. 34. 33. 33. 34. 32.],[30. 31. 34. 35. 34. 34. 33. 32. 34. 33.],[30. 31. 33. 34. 35. 35. 33. 33. 34. 34.],68,0
86,87,100,446.130714,41.026965,0.81479,95.0,1.0,27.0,29.0,29.0,[32. 29. 32. 33. 29. 28. 28. 28. 29. 27.],[32. 30. 32. 33. 31. 29. 29. 30. 28. 29.],[32. 30. 32. 34. 32. 28. 29. 30. 27. 29.],72,1
87,88,100,446.004159,41.025618,0.815461,96.0,2.0,30.0,30.0,29.0,[32. 31. 31. 28. 27. 28. 27. 29. 30. 30.],[32. 31. 29. 28. 28. 29. 30. 30. 30. 30.],[32. 29. 28. 28. 27. 26. 27. 28. 29. 29.],69,1
